Teljestmény,,1.95,,1.65,,1.25,,1.04,,1.00,,1.09,,1.33,,1.72,,4.00,1600,23,Watt,
Ár,,,1.62,,1.45,,1.19,,1.03,,1.00,,1.04,,1.25,,1.48,1.00,400,,400,
Számla,Tető,,,,,,,,,,,,,,,,,,,,,
37.56,,Észak,,Észak-kelet,,Kelet,,Dél-kelet,,Dél,,Dél-nyugat,,Nyugat,,Észak-nyugat,,,CO2 csökkentés,Fa CO2 megkötés,,
,,kWp,Ár,kWp,Ár,kWp,Ár,kWp,Ár,kWp,Ár,kWp,Ár,kWp,Ár,kWp,Ár,,,,,
6000,ferde,3.31,"1,660,667 Ft",2.8,"1,155,132 Ft",2.11,"1,380,253 Ft",1.76,"1,145,241 Ft",1.69,"1,145,241 Ft",1.85,"1,145,241 Ft",2.25,"1,254,775 Ft",2.91,"1,551,132 Ft",,676,10,,
159.7,lapos,3.31,"1,810,127 Ft",2.8,"1,690,734 Ft",2.11,"1,254,775 Ft",1.76,"1,248,313 Ft",1.69,"1,248,313 Ft",1.76,"1,248,313 Ft",1.76,"1,367,705 Ft",1.76,"1,690,734 Ft",,676,10,,
1917,földön,3.31,"1,826,734 Ft",2.8,"1,706,245 Ft",2.11,"1,380,253 Ft",1.76,"1,259,765 Ft",1.69,"1,259,765 Ft",1.76,"1,259,765 Ft",1.76,"1,380,253 Ft",1.76,"1,706,245 Ft",,676,10,,
6500,ferde,3.58,"1,850,854 Ft",3.03,"1,661,720 Ft",2.28,"1,362,432 Ft",1.91,"1,183,010 Ft",1.83,"1,145,241 Ft",2.00,"1,194,872 Ft",2.44,"1,427,105 Ft",3.14,"1,695,278 Ft",,732,11,,
173.1,lapos,3.58,"2,017,431 Ft",3.03,"1,811,275 Ft",2.28,"1,485,051 Ft",1.91,"1,289,481 Ft",1.83,"1,248,313 Ft",2.00,"1,302,411 Ft",2.44,"1,555,545 Ft",3.14,"1,847,853 Ft",,732,11,,
2077,földön,3.58,"2,035,939 Ft",3.03,"1,827,892 Ft",2.28,"1,498,675 Ft",1.91,"1,301,310 Ft",1.83,"1,259,765 Ft",2.00,"1,314,359 Ft",2.44,"1,569,815 Ft",3.14,"1,864,806 Ft",,732,11,,
7000,ferde,3.93,"1,850,854 Ft",3.33,"1,661,720 Ft",2.50,"1,362,432 Ft",2.10,"1,183,010 Ft",2.01,"1,145,241 Ft",2.20,"1,194,872 Ft",2.67,"1,427,105 Ft",3.45,"1,695,278 Ft",,804,12,,
186.4,lapos,3.93,"2,017,431 Ft",3.33,"1,811,275 Ft",2.50,"1,485,051 Ft",2.10,"1,289,481 Ft",2.01,"1,248,313 Ft",2.20,"1,302,411 Ft",2.67,"1,555,545 Ft",3.45,"1,847,853 Ft",,804,12,,
2236,földön,3.93,"2,035,939 Ft",3.33,"1,827,892 Ft",2.50,"1,498,675 Ft",2.10,"1,301,310 Ft",2.01,"1,259,765 Ft",2.20,"1,314,359 Ft",2.67,"1,569,815 Ft",3.45,"1,864,806 Ft",,804,12,,
7500,ferde,4.14,"2,027,874 Ft",3.51,"1,879,734 Ft",2.64,"1,551,132 Ft",2.21,"1,254,775 Ft",2.12,"1,254,775 Ft",2.32,"1,254,775 Ft",2.82,"1,551,132 Ft",3.64,"1,879,734 Ft",,848,12,,
199.7,lapos,4.14,"2,210,384 Ft",3.51,"2,048,910 Ft",2.64,"1,690,734 Ft",2.21,"1,367,705 Ft",2.12,"1,367,705 Ft",2.32,"1,367,705 Ft",2.82,"1,690,734 Ft",3.64,"2,048,910 Ft",,848,12,,
2396,földön,4.14,"2,230,663 Ft",3.51,"2,067,707 Ft",2.64,"1,706,245 Ft",2.21,"1,380,253 Ft",2.12,"1,380,253 Ft",2.32,"1,380,253 Ft",2.82,"1,706,245 Ft",3.64,"2,067,707 Ft",,848,12,,
8000,ferde,4.42,"2,027,874 Ft",3.74,"1,820,652 Ft",2.82,"1,492,738 Ft",2.36,"1,296,156 Ft",2.26,"1,254,775 Ft",2.47,"1,309,153 Ft",3.01,"1,563,597 Ft",3.88,"1,857,419 Ft",,904,13,,
213.0,lapos,4.42,"2,210,384 Ft",3.74,"1,984,511 Ft",2.82,"1,627,085 Ft",2.36,"1,412,810 Ft",2.26,"1,367,705 Ft",2.47,"1,426,977 Ft",3.01,"1,704,321 Ft",3.88,"2,024,587 Ft",,904,13,,
2556,földön,4.42,"2,230,663 Ft",3.74,"2,002,717 Ft",2.82,"1,642,013 Ft",2.36,"1,425,772 Ft",2.26,"1,380,253 Ft",2.47,"1,440,069 Ft",3.01,"1,719,957 Ft",3.88,"2,043,162 Ft",,904,13,,
8500,ferde,4.70,"2,506,825 Ft",3.98,"2,250,659 Ft",3.00,"1,845,298 Ft",2.51,"1,602,286 Ft",2.40,"1,551,132 Ft",2.63,"1,618,353 Ft",3.20,"1,932,893 Ft",4.13,"2,296,111 Ft",,961.6,14,,
226.3,lapos,4.70,"2,732,439 Ft",3.98,"2,453,219 Ft",3.00,"2,011,375 Ft",2.51,"1,746,492 Ft",2.40,"1,690,734 Ft",2.63,"1,764,005 Ft",3.20,"2,106,853 Ft",4.13,"2,502,761 Ft",,961.6,14,,
2716,földön,4.70,"2,757,507 Ft",3.98,"2,475,725 Ft",3.00,"2,029,828 Ft",2.51,"1,762,515 Ft",2.40,"1,706,245 Ft",2.63,"1,780,188 Ft",3.20,"2,126,182 Ft",4.13,"2,525,721 Ft",,961.6,14,,
9000,ferde,4.96,"2,506,825 Ft",4.20,"2,250,659 Ft",3.17,"1,845,298 Ft",2.65,"1,602,286 Ft",2.54,"1,551,132 Ft",2.77,"1,618,353 Ft",3.38,"1,932,893 Ft",4.36,"2,296,111 Ft",,1016,15,,
239.6,lapos,4.96,"2,732,439 Ft",4.20,"2,453,219 Ft",3.17,"2,011,375 Ft",2.65,"1,746,492 Ft",2.54,"1,690,734 Ft",2.77,"1,764,005 Ft",3.38,"2,106,853 Ft",4.36,"2,502,761 Ft",,1016,15,,
2875,földön,4.96,"2,757,507 Ft",4.20,"2,475,725 Ft",3.17,"2,029,828 Ft",2.65,"1,762,515 Ft",2.54,"1,706,245 Ft",2.77,"1,780,188 Ft",3.38,"2,126,182 Ft",4.36,"2,525,721 Ft",,1016,15,,
